Model,Lambda,MSE,ABMSE,R2_score,Distribution
Testing set reference,1.0,489.9193346435254,18.45768224439693,0.0190316212370657,2.0
Testing set,0.01,489.9193991643339,18.45767623520488,0.0190314920466695,2.0
Testing set,0.05,489.9193965571087,18.45767647800629,0.0190314972671321,2.0
Testing set,0.1,489.9193932981154,18.45767678150738,0.0190315037926337,2.0
Testing set,0.5,489.9193672277042,18.45767920948868,0.0190315559935719,2.0
Testing set,1.0,489.9193346435254,18.45768224439696,0.0190316212370657,2.0
Testing set,5.0,489.91907412342886,18.45770656090057,0.0190321428779944,2.0
Testing set,10.0,489.9187488563851,18.457736954878776,0.0190327941621183,2.0
Testing set,50.0,489.9161619893606,18.457979874380467,0.0190379738612476,2.0
Testing set,100.0,489.91296632043816,18.458284125103585,0.0190443725680147,2.0
Testing set,500.0,489.88886632931616,18.46071402565251,0.0190926281226487,2.0
Testing set,1000.0,489.8621749800044,18.463739924369,0.0191460723690988,2.0
Testing set,5000.0,489.7518143029608,18.487042797286986,0.0193670482048808,2.0
Testing set reference,1.0,486.1153607946002,18.365043734906354,0.0237630810067268,3.0
Testing set,0.01,486.1153630916024,18.365036207227423,0.0237630763937921,3.0
Testing set,0.05,486.11536299857534,18.36503651138425,0.023763076580613,3.0
Testing set,0.1,486.1153628823175,18.36503689157929,0.0237630768140868,3.0
Testing set,0.5,486.11536195329126,18.365039933100974,0.0237630786797956,3.0
Testing set,1.0,486.1153607946004,18.36504373490636,0.0237630810067265,3.0
Testing set,5.0,486.1153516287131,18.36507414548188,0.0237630994140394,3.0
Testing set,10.0,486.1153404302717,18.36511215423619,0.0237631219032112,3.0
Testing set,50.0,486.11526116191845,18.36541623884666,0.0237632810931879,3.0
Testing set,100.0,486.1151876940414,18.36579564543664,0.023763428634409,3.0
Testing set,500.0,486.1155889006347,18.368799224361176,0.0237626229147793,3.0
Testing set,1000.0,486.1184024723338,18.372503475007505,0.0237569725840381,3.0
Testing set,5000.0,486.2095202650181,18.40016291791808,0.0235739860743129,3.0
Testing set reference,1.0,486.9798035769556,18.36868606609025,0.0236233890112798,4.0
Testing set,0.01,486.9797932746035,18.36867888988232,0.0236234096671171,4.0
Testing set,0.05,486.9797936906611,18.36867917983735,0.023623408832937,4.0
Testing set,0.1,486.9797942107566,18.368679542280272,0.0236234077901644,4.0
Testing set,0.5,486.9797983724639,18.36868244178942,0.0236233994460944,4.0
Testing set,1.0,486.9798035769555,18.368686066090245,0.02362338901128,4.0
Testing set,5.0,486.9798453071493,18.368715057071785,0.0236233053437748,4.0
Testing set,10.0,486.97989770536776,18.36875128723952,0.0236232002872722,4.0
Testing set,50.0,486.98032627390063,18.36904117637749,0.0236223410231126,4.0
Testing set,100.0,486.9808852672095,18.369402906969132,0.0236212202620699,4.0
Testing set,500.0,486.9862540102766,18.37227747552311,0.023610456129507,4.0
Testing set,1000.0,486.9950525712164,18.37583109879404,0.0235928153381458,4.0
Testing set,5000.0,487.1262031092963,18.402831411707727,0.0233298633287213,4.0
Corrected set reference,1.0,489.9193346435254,18.45768224439693,0.0190316212370657,2.0
Corrected set,0.01,490.0110845682387,18.463014099136156,0.018847909820648323,2.0
Corrected set,0.05,490.0110822385409,18.463014342210645,0.018847914485416006,2.0
Corrected set,0.1,490.0110793264492,18.463014646053193,0.018847920316314548,2.0
Corrected set,0.5,490.01105603095726,18.463017076770132,0.01884796696101565,2.0
Corrected set,1.0,490.0110269146961,18.463020115107863,0.018848025260677415,2.0
Corrected set,5.0,490.0107941087134,18.46304441947256,0.0188484914094722,2.0
Corrected set,10.0,490.01050341137716,18.463074794086694,0.018849073474466294,2.0
Corrected set,50.0,490.0081902120059,18.463317557599034,0.018853705207236504,2.0
Corrected set,100.0,490.00532953380105,18.463620816359555,0.018859433160110295,2.0
Corrected set,500.0,489.983651149025,18.466046057138595,0.018902839918048198,2.0
Corrected set,1000.0,489.95945006205744,18.469059780665244,0.01895129789749117,2.0
Corrected set,5000.0,489.8606451350633,18.492218213918676,0.019149135586664534,2.0
